"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LUX","HUR","WOMEN","PC_LF","M","2018-08",5.9,
"LUX","HUR","WOMEN","PC_LF","M","2018-09",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2018-10",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2018-11",5.4,
"LUX","HUR","WOMEN","PC_LF","M","2018-12",5.3,
"LUX","HUR","WOMEN","PC_LF","M","2019-01",5.2,
"LUX","HUR","WOMEN","PC_LF","M","2019-02",5.4,
"LUX","HUR","WOMEN","PC_LF","M","2019-03",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2019-04",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2019-05",5.5,
"LUX","HUR","WOMEN","PC_LF","M","2019-06",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2019-07",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2019-08",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2019-09",5.5,
"LUX","HUR","WOMEN","PC_LF","M","2019-10",5.5,
"LUX","HUR","WOMEN","PC_LF","M","2019-11",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2019-12",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2020-01",5.7,
"LUX","HUR","WOMEN","PC_LF","M","2020-02",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2020-03",6.3,
"LUX","HUR","WOMEN","PC_LF","M","2020-04",7.2,
"LUX","HUR","WOMEN","PC_LF","M","2020-05",7.6,
"LUX","HUR","WOMEN","PC_LF","M","2020-06",7.7,
"LUX","HUR","WOMEN","PC_LF","M","2020-07",7.4,
"LUX","HUR","WOMEN","PC_LF","M","2020-08",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2020-09",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2020-10",6.8,
"LUX","HUR","WOMEN","PC_LF","M","2020-11",6.9,
"LUX","HUR","WOMEN","PC_LF","M","2020-12",7,
"LUX","HUR","WOMEN","PC_LF","M","2021-01",7.1,
"LUX","HUR","WOMEN","PC_LF","M","2021-02",7,
"LUX","HUR","WOMEN","PC_LF","M","2021-03",6.8,
"LUX","HUR","WOMEN","PC_LF","M","2021-04",6.5,
"LUX","HUR","WOMEN","PC_LF","M","2021-05",6.1,
"LUX","HUR","WOMEN","PC_LF","M","2021-06",5.8,
"LUX","HUR","WOMEN","PC_LF","M","2021-07",5.6,
"LUX","HUR","WOMEN","PC_LF","M","2021-08",5.4,
"LUX","HUR","WOMEN","PC_LF","M","2021-09",5.2,
"LUX","HUR","WOMEN","PC_LF","M","2021-10",5,
"LUX","HUR","WOMEN","PC_LF","M","2021-11",5,
"LUX","HUR","WOMEN","PC_LF","M","2021-12",5,
"LUX","HUR","WOMEN","PC_LF","M","2022-01",4.7,
"LUX","HUR","WOMEN","PC_LF","M","2022-02",4.7,
"LUX","HUR","WOMEN","PC_LF","M","2022-03",4.6,
"LUX","HUR","WOMEN","PC_LF","M","2022-04",4.5,
"LUX","HUR","WOMEN","PC_LF","M","2022-05",4.5,
"LUX","HUR","WOMEN","PC_LF","M","2022-06",4.5,
"LUX","HUR","WOMEN","PC_LF","M","2022-07",4.6,
"LUX","HUR","WOMEN","PC_LF","M","2022-08",4.8,
"LUX","HUR","WOMEN","PC_LF","M","2022-09",4.9,
"LUX","HUR","WOMEN","PC_LF","M","2022-10",4.9,
"LUX","HUR","WOMEN","PC_LF","M","2022-11",4.8,
"LUX","HUR","WOMEN","PC_LF","M","2022-12",4.9,
"LUX","HUR","WOMEN","PC_LF","M","2023-01",5,
"LUX","HUR","WOMEN","PC_LF","M","2023-02",5,
"LUX","HUR","WOMEN","PC_LF","M","2023-03",5,
"LUX","HUR","WOMEN","PC_LF","M","2023-04",5,
"NLD","HUR","MEN","PC_LF","M","1983-01",9,
"NLD","HUR","MEN","PC_LF","M","1983-02",9,
"NLD","HUR","MEN","PC_LF","M","1983-03",9,
"NLD","HUR","MEN","PC_LF","M","1983-04",9,
"NLD","HUR","MEN","PC_LF","M","1983-05",9,
"NLD","HUR","MEN","PC_LF","M","1983-06",9,
"NLD","HUR","MEN","PC_LF","M","1983-07",9,
"NLD","HUR","MEN","PC_LF","M","1983-08",9,
"NLD","HUR","MEN","PC_LF","M","1983-09",9,
"NLD","HUR","MEN","PC_LF","M","1983-10",9,
"NLD","HUR","MEN","PC_LF","M","1983-11",9,
"NLD","HUR","MEN","PC_LF","M","1983-12",8.9,
"NLD","HUR","MEN","PC_LF","M","1984-01",8.9,
"NLD","HUR","MEN","PC_LF","M","1984-02",8.9,
"NLD","HUR","MEN","PC_LF","M","1984-03",8.9,
"NLD","HUR","MEN","PC_LF","M","1984-04",8.8,
"NLD","HUR","MEN","PC_LF","M","1984-05",8.8,
"NLD","HUR","MEN","PC_LF","M","1984-06",8.7,
"NLD","HUR","MEN","PC_LF","M","1984-07",8.6,
"NLD","HUR","MEN","PC_LF","M","1984-08",8.6,
"NLD","HUR","MEN","PC_LF","M","1984-09",8.5,
"NLD","HUR","MEN","PC_LF","M","1984-10",8.4,
"NLD","HUR","MEN","PC_LF","M","1984-11",8.3,
"NLD","HUR","MEN","PC_LF","M","1984-12",8.2,
"NLD","HUR","MEN","PC_LF","M","1985-01",8.2,
"NLD","HUR","MEN","PC_LF","M","1985-02",8.1,
"NLD","HUR","MEN","PC_LF","M","1985-03",8,
"NLD","HUR","MEN","PC_LF","M","1985-04",7.9,
"NLD","HUR","MEN","PC_LF","M","1985-05",7.8,
"NLD","HUR","MEN","PC_LF","M","1985-06",7.6,
"NLD","HUR","MEN","PC_LF","M","1985-07",7.5,
"NLD","HUR","MEN","PC_LF","M","1985-08",7.4,
"NLD","HUR","MEN","PC_LF","M","1985-09",7.3,
"NLD","HUR","MEN","PC_LF","M","1985-10",7.2,
"NLD","HUR","MEN","PC_LF","M","1985-11",7.1,
"NLD","HUR","MEN","PC_LF","M","1985-12",7,
"NLD","HUR","MEN","PC_LF","M","1986-01",6.9,
"NLD","HUR","MEN","PC_LF","M","1986-02",6.9,
"NLD","HUR","MEN","PC_LF","M","1986-03",6.7,
"NLD","HUR","MEN","PC_LF","M","1986-04",6.6,
"NLD","HUR","MEN","PC_LF","M","1986-05",6.5,
"NLD","HUR","MEN","PC_LF","M","1986-06",6.4,
"NLD","HUR","MEN","PC_LF","M","1986-07",6.3,
"NLD","HUR","MEN","PC_LF","M","1986-08",6.2,
"NLD","HUR","MEN","PC_LF","M","1986-09",6.1,
"NLD","HUR","MEN","PC_LF","M","1986-10",6,
"NLD","HUR","MEN","PC_LF","M","1986-11",5.9,
"NLD","HUR","MEN","PC_LF","M","1986-12",5.8,
"NLD","HUR","MEN","PC_LF","M","1987-01",5.7,
"NLD","HUR","MEN","PC_LF","M","1987-02",5.6,
"NLD","HUR","MEN","PC_LF","M","1987-03",5.5,
"NLD","HUR","MEN","PC_LF","M","1987-04",5.4,
"NLD","HUR","MEN","PC_LF","M","1987-05",5.4,
"NLD","HUR","MEN","PC_LF","M","1987-06",5.4,
"NLD","HUR","MEN","PC_LF","M","1987-07",5.4,
"NLD","HUR","MEN","PC_LF","M","1987-08",5.3,
"NLD","HUR","MEN","PC_LF","M","1987-09",5.3,
"NLD","HUR","MEN","PC_LF","M","1987-10",5.4,
"NLD","HUR","MEN","PC_LF","M","1987-11",5.4,
"NLD","HUR","MEN","PC_LF","M","1987-12",5.5,
"NLD","HUR","MEN","PC_LF","M","1988-01",5.5,
"NLD","HUR","MEN","PC_LF","M","1988-02",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-03",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-04",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-05",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-06",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-07",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-08",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-09",5.6,
"NLD","HUR","MEN","PC_LF","M","1988-10",5.5,
"NLD","HUR","MEN","PC_LF","M","1988-11",5.4,
